#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.15582,     199680,          0,          0, (null)
   0.15593,     201728,          0,          0, (null)
   0.15605,     203776,          0,          0, (null)
   0.15621,     205824,          0,          0, (null)
   0.15632,     207872,          0,          0, (null)
   0.15642,     209920,          0,          0, (null)
   0.15653,     211968,          0,          0, (null)
   0.15663,     214016,          0,          0, (null)
   0.15726,     215040,          0,          0, (null)
   0.15844,     216064,          0,          0, (null)
   0.15921,     217088,          0,          0, (null)
   0.15967,     218112,          0,          0, (null)
   0.15995,     219136,          0,          0, (null)
   0.16612,     220160,          0,          0, (null)
   0.16852,     221184,          0,          0, (null)
   0.16857,     222208,          0,          0, (null)
   0.16862,     223232,          0,          0, (null)
   0.16866,     224256,          0,          0, (null)
   0.16870,     225280,          0,          0, (null)
   0.16874,     226304,          0,          0, (null)
   0.16879,     227328,          0,          0, (null)
   0.16883,     228352,          0,          0, (null)
   0.16888,     229376,          0,          0, (null)
   0.16892,     230400,          0,          0, (null)
   0.16897,     231424,          0,          0, (null)
   0.16910,     232448,          0,          0, (null)
   0.16918,     233174,          0,          0, (null)
   0.17411,     233174,          1,          0, /courses/ud923/filecorpus/paraglider.jpg
  10.73847,     233174,          1,          1, /courses/ud923/filecorpus/yellowstone.jpg
